"ADVISOR_ID","FIRST_NAME","LAST_NAME","AGE","STREET_ADDRESS","STATE","ZIP_CODE","COUNTRY","PHONE_NUMBER","ADVISOR_START_DATE"
1,"David","Flores",40,"5451 Pine Dr","CA",77843,"USA","579-874-1784","2023-06-19"
2,"Helen","Walker",57,"309 Pine Dr","ND",88633,"USA","661-405-8613","2016-12-22"
3,"Michael","Mitchell",52,"9498 Lake Dr","ME",96439,"USA","803-959-4138","2019-12-22"
4,"Robert","Williams",49,"5162 Lake Dr","AK",90593,"USA","845-588-9783","2017-06-23"
5,"John","King",42,"9866 Hill Ave","MD",32180,"USA","814-703-6028","2010-02-19"
6,"Donna","Flores",52,"5083 Pine Dr","OR",65852,"USA","586-442-2874","2014-04-13"
7,"Rebecca","Gonzales",47,"7219 Pine Dr","VA",53882,"USA","356-790-2477","2018-01-27"
8,"Katherine","Johnson",62,"6904 Elm St","ID",73313,"USA","342-439-8911","2021-07-14"
9,"Paul","Harris",51,"5249 Elm St","WV",85767,"USA","426-491-9500","2012-09-07"
10,"Jeffrey","Hill",47,"2349 Elm St","RI",15324,"USA","519-563-6934","2024-04-22"
11,"Joshua","Robinson",65,"4890 Cedar Ln","MN",14198,"USA","264-402-9645","2018-02-17"
12,"Jeffrey","Ramirez",34,"1420 Hill Ave","ND",42285,"USA","341-590-3552","2019-09-26"
13,"Jennifer","Jackson",45,"3785 Main St","IN",62319,"USA","711-990-3821","2022-01-02"
14,"David","Young",31,"3707 Main St","HI",88167,"USA","385-237-2441","2024-09-12"
15,"James","Green",33,"647 Pine Dr","NH",54564,"USA","481-520-5270","2024-02-06"
16,"Katherine","Carter",34,"7370 Park Blvd","DE",88721,"USA","961-904-8559","2012-05-09"
17,"Jacob","Thompson",44,"5918 Maple Ave","SC",10184,"USA","642-859-7467","2023-01-11"
18,"Maria","Perez",30,"4405 Hill Ave","AL",14235,"USA","218-903-5723","2021-04-14"
19,"Paul","Adams",53,"313 Cedar Ln","NC",82226,"USA","316-789-6135","2019-05-01"
20,"Donna","Williams",61,"603 Oak Ave","CT",37469,"USA","496-440-6018","2015-03-17"
21,"Rachel","Thomas",47,"5757 Maple Ave","NE",43125,"USA","568-405-6198","2021-08-15"
22,"Jason","Torres",54,"237 Elm St","DE",33694,"USA","770-507-9677","2022-10-16"
23,"Michael","Perez",28,"6837 Pine Dr","IL",30419,"USA","415-839-1416","2024-05-03"
24,"Rachel","Hill",58,"8023 Oak Ave","NH",32700,"USA","938-629-2083","2013-03-09"
25,"Nicole","Lewis",52,"3861 Hill Ave","AL",68175,"USA","940-218-6276","2018-04-21"
26,"Richard","Lewis",54,"8429 Elm St","KY",13893,"USA","530-749-4600","2022-05-17"
27,"Matthew","King",37,"5588 Valley Rd","NV",99667,"USA","712-465-1700","2012-02-12"
28,"Brian","Smith",49,"6681 Maple Ave","NY",66814,"USA","532-845-9137","2021-10-11"
29,"Lisa","Wright",47,"8131 Main St","MA",11979,"USA","951-679-1900","2014-01-12"
30,"Jessica","Anderson",50,"6441 Elm St","MA",81557,"USA","222-712-7559","2012-05-24"
31,"Stephanie","Carter",56,"6429 Valley Rd","OR",49147,"USA","537-598-3700","2014-11-09"
32,"Kenneth","Green",29,"5319 Oak Ave","MS",30441,"USA","786-675-3746","2022-09-04"
33,"Melissa","Hill",56,"7694 Cedar Ln","SC",32446,"USA","451-590-3459","2010-03-24"
34,"Joseph","Flores",38,"9484 Main St","NY",50359,"USA","375-727-4894","2012-02-08"
35,"Anna","Jackson",49,"5113 Valley Rd","CA",83561,"USA","737-428-5140","2015-04-17"
36,"Jennifer","Young",58,"8758 Hill Ave","NE",47007,"USA","871-868-8621","2019-09-13"
37,"Paul","Young",49,"1427 Oak Ave","MT",24622,"USA","713-334-3574","2019-06-14"
38,"Daniel","King",39,"9207 Valley Rd","HI",92301,"USA","675-216-9472","2023-01-04"
39,"Nicole","Williams",62,"2513 Oak Ave","OR",91472,"USA","208-891-1609","2024-07-08"
40,"Elizabeth","Carter",33,"1877 Maple Ave","WV",11359,"USA","806-297-4587","2013-01-04"
41,"Steven","Carter",57,"9566 Valley Rd","WA",41288,"USA","524-658-9377","2013-04-07"
42,"Angela","Wright",60,"8194 Valley Rd","NC",85413,"USA","662-846-3009","2017-07-16"
43,"Jennifer","Brown",43,"1645 Pine Dr","NV",66577,"USA","375-722-4691","2016-12-17"
44,"Richard","Wright",44,"5646 Valley Rd","KS",32381,"USA","522-409-7303","2016-05-09"
45,"Jacob","Baker",39,"9150 Lake Dr","RI",33449,"USA","638-472-4735","2014-05-15"
46,"Emily","Robinson",46,"8195 Cedar Ln","ME",38488,"USA","656-246-8875","2016-12-22"
47,"Susan","Robinson",56,"7066 Hill Ave","OR",87272,"USA","734-919-6490","2018-05-06"
48,"David","Jackson",40,"5649 Oak Ave","MT",14043,"USA","555-726-4898","2012-10-19"
49,"Richard","Perez",32,"2671 Pine Dr","ND",26091,"USA","333-319-6042","2020-01-01"
50,"Rachel","Rodriguez",51,"9898 Maple Ave","TX",73989,"USA","698-491-7589","2014-07-23"
51,"Helen","Allen",41,"2659 Cedar Ln","SD",34392,"USA","433-632-6632","2013-03-12"
52,"Eric","Wright",35,"2206 Oak Ave","OK",87275,"USA","998-832-4877","2013-11-25"
